date,obspcp,calibpcp,gcmpcp
1961/1/1,0,0.099090622,0.043985473
1961/1/2,0,0.087630788,0.048762131
1961/1/3,0,0.043110852,0.039431912
1961/1/4,2.6,0.049735665,0.048922382
1961/1/5,0,0.085807226,0.04046164
1961/1/6,0,0.065384966,0.064298783
1961/1/7,0,0.04252371,0.064156328
1961/1/8,0,0.070197167,0.086773051
1961/1/9,0,0.081491881,0.083074823
1961/1/10,0,0.086430086,0.053356665
1961/1/11,0.6,0.062436032,0.046100427
1961/1/12,0,0.035839878,0.066318492
1961/1/13,0,0.038681234,0.062450689
1961/1/14,0,0.113567476,0.093682157
1961/1/15,0,0.0679519,0.069179345
1961/1/16,0,0.108910867,0.061971631
1961/1/17,0,0.077058845,0.085204822
1961/1/18,0,0.085605344,0.057677564
1961/1/19,0,0.040635974,0.050947719
1961/1/20,0,0.04664308,0.049281572
1961/1/21,0,0.034060631,0.081314908
1961/1/22,0,0.058071425,0.080437174
1961/1/23,0,0.051730536,0.077849485
1961/1/24,0,0.0338351,0.04722167
1961/1/25,0,0.054162835,0.109568567
1961/1/26,0,0.063292906,0.093697024
1961/1/27,0,0.050399385,0.07337601
1961/1/28,0,0.059342791,0.068698553
1961/1/29,0,0.03730891,0.059777036
1961/1/30,0,0.055615174,0.016927491
1961/1/31,1.8,0.073051866,0.032560487
1961/2/1,0,0.106727843,0.062521078
1961/2/2,0.1,0.183022169,0.076734811
1961/2/3,0.4,0.158290576,0.111773422
1961/2/4,0,0.095499011,0.105578144
1961/2/5,0,0.084175299,0.124951129
1961/2/6,0,0.117388959,0.108745846
1961/2/7,0,0.12815987,0.162747526
1961/2/8,0,0.112295694,0.06507891
1961/2/9,0,0.083500956,0.051847602
1961/2/10,0,0.05429582,0.06091844
1961/2/11,0,0.080347362,0.068140373
1961/2/12,0.8,0.048756421,0.137144122
1961/2/13,0,0.045350299,0.115941651
1961/2/14,1.5,0.073920025,0.048139694
1961/2/15,0,0.061822785,0.052191282
1961/2/16,0,0.084690569,0.140835497
1961/2/17,0,0.072911241,0.064936708
1961/2/18,0,0.043761235,0.082370257
1961/2/19,0,0.113490513,0.041838246
1961/2/20,0,0.086497195,0.048948124
1961/2/21,0,0.060718304,0.065328078
1961/2/22,0,0.081408841,0.035263269
1961/2/23,0,0.103818506,0.04511439
1961/2/24,0,0.082105476,0.078962272
1961/2/25,0,0.102007028,0.051206269
1961/2/26,0,0.077106881,0.052832922
1961/2/27,0,0.085520993,0.069609633
1961/2/28,0,0.082400698,0.040711749
1961/3/1,1.2,0.116931369,0.140878752
1961/3/2,0,0.080652593,0.130699647
1961/3/3,4,0.108719161,0.108487276
1961/3/4,0.4,0.14161346,0.136862026
1961/3/5,2.5,0.182504107,0.092612055
1961/3/6,0,0.080762821,0.109537509
1961/3/7,0,0.165470665,0.108575209
1961/3/8,0,0.104155959,0.144239403
1961/3/9,0,0.192833309,0.134132341
1961/3/10,0,0.117989607,0.108420106
1961/3/11,0,0.267901671,0.106593599
1961/3/12,0,0.277003957,0.141151121
1961/3/13,0,0.161650788,0.050862555
1961/3/14,0,0.197887837,0.151123631
1961/3/15,0,0.294059648,0.128615902
1961/3/16,0,0.145857766,0.101996872
1961/3/17,0.8,0.237204985,0.138912355
1961/3/18,0,0.273871896,0.285608299
1961/3/19,0,0.261376171,0.15804107
1961/3/20,0.5,0.194270382,0.148200625
1961/3/21,0,0.083521827,0.065673252
1961/3/22,2.1,0.241101883,0.075919597
1961/3/23,2.4,0.065838393,0.067603279
1961/3/24,0.9,0.164732964,0.217923722
1961/3/25,0.5,0.195665848,0.065103515
1961/3/26,0,0.12306643,0.084874924
1961/3/27,0.8,0.166158063,0.265535348
1961/3/28,0,0.105055753,0.133151241
1961/3/29,0,0.097798663,0.155363589
1961/3/30,0,0.144622712,0.138157577
1961/3/31,0,0.063190287,0.148751604
1961/4/1,0,0.456471694,0.254965785
1961/4/2,1.3,0.584765558,0.259096309
1961/4/3,3.8,0.72289488,0.257573767
1961/4/4,0,0.469724528,0.243831368
1961/4/5,0,0.327780741,0.538293671
1961/4/6,0,0.361105256,0.382513832
1961/4/7,0,0.285199385,0.313537718
1961/4/8,0,0.23132328,0.347931164
1961/4/9,3.6,0.299559707,0.415104562
1961/4/10,1.1,0.32726522,0.260177531
1961/4/11,0.5,0.28564495,0.23487189
1961/4/12,1.6,0.23349491,0.416296525
1961/4/13,0.1,0.243865778,0.431917271
1961/4/14,0,0.45239694,0.226968308
1961/4/15,2.5,0.310287186,0.374485633
1961/4/16,0,0.238925243,0.41413125
1961/4/17,0,0.167612066,0.234529724
1961/4/18,0.4,0.415576599,0.355664159
1961/4/19,0,0.331235885,0.305457343
1961/4/20,0.5,0.395227943,0.398005027
1961/4/21,0,0.360754623,0.244386992
1961/4/22,0,0.524012681,0.450477678
1961/4/23,0,0.405182556,0.233567139
1961/4/24,0,0.345373566,0.518064405
1961/4/25,0,0.365662211,0.223261099
1961/4/26,0,0.232850251,0.474544629
1961/4/27,0,0.356065216,0.290476848
1961/4/28,0,0.275683363,0.38739644
1961/4/29,4.4,0.445543955,0.354601653
1961/4/30,0,0.281030243,0.206869134
1961/5/1,0.1,0.571270298,1.677662018
1961/5/2,0.1,1.003544928,0.975779223
1961/5/3,0,1.092310015,1.227232346
1961/5/4,0,0.812715635,1.13760978
1961/5/5,0,1.391395906,2.014936566
1961/5/6,0,0.897421076,1.314194011
1961/5/7,0,0.803318967,1.91212224
1961/5/8,0,1.18184636,1.112717326
1961/5/9,0.4,0.988719784,1.150771864
1961/5/10,5.2,1.043746407,0.906670705
1961/5/11,0,1.743211322,1.157110071
1961/5/12,0,1.685338263,1.623021149
1961/5/13,1,1.051973679,1.346602091
1961/5/14,1.1,1.789378134,0.967923215
1961/5/15,0.2,1.610729217,1.504411768
1961/5/16,0,1.18356945,1.065576581
1961/5/17,0,0.994548693,1.507384422
1961/5/18,0,0.985706233,0.738316332
1961/5/19,0.6,1.705704403,1.192121797
1961/5/20,0,1.636920668,1.479324757
1961/5/21,0,0.946129392,1.251922975
1961/5/22,0,1.249114944,1.836633014
1961/5/23,0,1.279606911,1.76312429
1961/5/24,1.7,1.389288857,0.98186842
1961/5/25,7,1.007803291,1.492876795
1961/5/26,2.9,1.370306234,1.069460059
1961/5/27,2.1,1.72281369,1.40703568
1961/5/28,2,2.384613703,0.686032917
1961/5/29,14,1.750999027,0.719232039
1961/5/30,1.5,1.268041203,0.864235664
1961/5/31,0.6,1.560275283,1.108563132
1961/6/1,0.2,4.336591853,4.234015638
1961/6/2,0,3.218825644,5.496831713
1961/6/3,0,5.026930225,4.581793498
1961/6/4,0,3.342426752,5.067015665
1961/6/5,0,6.275798393,3.651643552
1961/6/6,0,4.187171573,6.157963015
1961/6/7,5.7,5.739896768,5.009602433
1961/6/8,0,5.033290513,2.804539748
1961/6/9,0,5.626997209,4.077683363
1961/6/10,0,5.8806294,3.087910161
1961/6/11,0,3.440312045,5.956317658
1961/6/12,0,4.290421655,4.918612307
1961/6/13,0,4.575908203,4.354233471
1961/6/14,1.5,4.781124629,5.375672012
1961/6/15,2.3,3.847982627,3.723766485
1961/6/16,13.7,4.706305447,3.824697538
1961/6/17,0.3,4.534423104,4.369187908
1961/6/18,3.3,3.328429779,2.814058702
1961/6/19,0.5,4.033501045,7.15459312
1961/6/20,3.3,4.057557002,5.531815974
1961/6/21,0.9,5.288601477,4.505434365
1961/6/22,3.5,4.880618486,2.584271615
1961/6/23,0.3,5.836552023,5.177316918
1961/6/24,1.2,4.376992127,5.032569682
1961/6/25,1.7,3.354085342,5.203098848
1961/6/26,1.6,3.742822246,4.548351292
