,obspcp,calibpcp,gcmpcp
Jan-61,5,1.959605152,1.957466011
Feb-61,2.8,2.509990569,2.170411444
Mar-61,16.1,5.053470975,4.043608001
Apr-61,19.8,10.73251641,10.04899885
May-61,40.5,40.10236197,39.19247325
Jun-61,71.4,134.9773398,139.9507748
Jul-61,95.1,124.6638253,137.4601666
Aug-61,157,113.7695212,121.0379343
Sep-61,57.6,101.3912456,92.37669817
Oct-61,48.7,25.25868334,18.28777985
Nov-61,5,1.251518292,1.092205273
Dec-61,2.5,0.946227863,0.788740921
Jan-62,5.7,1.54439472,1.618063929
Feb-62,5.2,2.110634863,2.493331415
Mar-62,5.4,4.515203961,4.188688532
Apr-62,12.6,10.89859338,11.20115664
May-62,48.3,42.52014687,38.2282256
Jun-62,125.7,128.3685232,130.5966392
Jul-62,155.8,137.2875618,138.2494588
Aug-62,117.6,112.6993875,116.5619795
Sep-62,66.7,104.8363436,99.45868348
Oct-62,11.3,20.3273613,20.31727472
Nov-62,0,1.154054984,1.171154354
Dec-62,2,0.865463084,0.850575297
Jan-63,0.1,1.526957161,1.692988164
Feb-63,0.4,2.39367391,2.446433384
Mar-63,18,4.543276226,3.900770245
Apr-63,13.5,10.00696371,10.00871913
May-63,42.7,45.51535624,37.45515089
Jun-63,131.6,132.5597756,133.2195247
Jul-63,111.5,135.2392098,131.3552468
Aug-63,127.6,124.4451219,107.0015824
Sep-63,152.9,102.3246317,102.6572641
Oct-63,8.7,22.46013043,18.52792806
Nov-63,5.9,1.242660866,1.134357125
Dec-63,0.5,0.967013891,1.008977045
Jan-64,3.3,1.766702519,1.717667428
Feb-64,2.6,3.127859155,3.071552395
Mar-64,0.5,4.419983037,3.690681471
Apr-64,4.8,11.06096572,10.19367644
May-64,25.8,44.31004383,48.1522078
Jun-64,144.4,130.2752406,137.9358645
Jul-64,97.9,128.9275151,137.4132416
Aug-64,99.8,123.3432333,112.6431113
Sep-64,86.6,101.6705935,103.0671734
Oct-64,20.6,37.25722495,20.22472852
Nov-64,8.6,1.192501964,1.166061529
Dec-64,4.5,0.823980311,0.786733256
Jan-65,1.2,1.664543091,1.798084457
Feb-65,1.7,2.406487903,1.974419629
Mar-65,4,4.307674373,4.567349243
Apr-65,11.3,9.190869101,10.47887098
May-65,45.2,45.22705666,41.99542651
Jun-65,167.1,127.3790391,131.7676484
Jul-65,109,127.4619528,150.5768437
Aug-65,111.5,115.8858063,112.5836008
Sep-65,68,101.7987041,97.13305995
Oct-65,24.6,26.4173437,25.72743301
Nov-65,7.7,1.384225069,1.131228081
Dec-65,0,0.725055409,0.868948783
Jan-66,4.4,1.766059973,1.773331876
Feb-66,1.7,2.430944673,2.62208442
Mar-66,3.5,4.530233556,5.289323214
Apr-66,6.8,9.632508875,10.54087144
May-66,8.4,44.52518117,45.94363051
Jun-66,47.8,130.5730362,128.304111
Jul-66,124.6,133.6033527,133.5249997
Aug-66,117.5,110.683929,106.8897733
Sep-66,73.1,105.0503107,110.0259871
Oct-66,27.6,19.87068965,22.9839307
Nov-66,1.9,1.327916844,1.263980131
Dec-66,0.2,0.83629852,0.855733992
Jan-67,2.5,1.569946852,1.788806754
Feb-67,3.2,2.32383572,1.927087011
Mar-67,16.5,4.882156163,4.094457869
Apr-67,3.6,8.906043769,10.06480207
May-67,31.8,49.84809723,42.22160813
Jun-67,98.5,135.1214048,124.9031363
Jul-67,114.9,130.1921801,144.1823491
Aug-67,136.4,108.7252484,118.7575057
Sep-67,52.6,108.773875,95.06329901
Oct-67,24.5,24.02259191,29.54655506
Nov-67,8.3,1.29958668,1.340866535
Dec-67,3.3,0.817005957,0.934897048
Jan-68,10.5,1.537344836,1.608943121
Feb-68,6.8,2.530091244,1.752903443
Mar-68,10.2,4.926165908,4.30889926
Apr-68,12.9,10.21602477,11.25685651
May-68,30.4,41.29736227,43.95199356
Jun-68,78.9,131.0097038,127.0818577
Jul-68,87.6,129.0678797,152.0566055
Aug-68,73.6,103.9538799,116.2485847
Sep-68,127.9,106.2317241,104.8463832
Oct-68,23.8,24.49558297,21.44261699
Nov-68,4.4,1.247068325,1.147225679
Dec-68,0.2,0.841665257,0.891303965
Jan-69,6.4,1.768686603,1.768887928
Feb-69,0,2.27143548,2.660474444
Mar-69,3.7,4.56702858,4.555517484
Apr-69,5.2,9.392873751,9.828661077
May-69,21.4,41.80441277,41.13644638
Jun-69,140.8,137.608826,146.5197999
Jul-69,81.8,147.2495643,155.6754316
Aug-69,78.8,113.257283,108.2104926
Sep-69,104.8,100.6399559,102.6109593
Oct-69,15.8,19.03624869,16.90829812
Nov-69,0.9,1.219818557,1.243702208
Dec-69,1.5,1.032714214,0.89196229
Jan-70,4.9,1.807300163,1.564900615
Feb-70,5.2,2.555434802,2.799574667
Mar-70,9.6,4.548618758,3.699674098
Apr-70,8.9,10.98634864,9.742576783
May-70,42.5,44.98053388,44.50064827
Jun-70,117.8,136.7223431,131.7610935
Jul-70,199.9,151.4422907,152.4621749
Aug-70,85.3,111.6792142,119.672218
Sep-70,53.5,106.2520113,94.23822601
Oct-70,20.5,17.10632061,27.10543419
Nov-70,7,1.159650757,1.211905302
Dec-70,0,0.8388152,0.872487257
Jan-71,8.3,1.598669516,1.905772619
Feb-71,1.5,2.002868118,2.46160377
Mar-71,7.8,4.624300116,4.597604848
Apr-71,35.7,11.0004717,11.45856695
May-71,60.6,46.08781471,39.36274677
Jun-71,94.9,144.0257473,136.3984421
Jul-71,79,148.0923549,152.8269178
Aug-71,87.4,118.5720593,110.0361906
Sep-71,74.3,105.432651,94.75227185
Oct-71,89.5,31.46834341,20.00713093
Nov-71,6.4,1.19860817,1.445214898
Dec-71,0,0.849215619,0.786645473
Jan-72,2.2,1.714814121,1.859456757
Feb-72,13.2,2.570800304,2.287173943
Mar-72,9.4,4.521090162,4.391389751
Apr-72,29.9,10.82165669,9.56296419
May-72,31.2,39.85187048,38.87439646
Jun-72,100,117.1588083,128.8907238
Jul-72,87.1,148.0164837,138.3038376
Aug-72,62.7,120.5102483,109.6609538
Sep-72,59.1,104.245492,99.56603591
Oct-72,32.9,21.86384024,18.27458688
Nov-72,4.2,1.322863069,1.387199953
Dec-72,3.6,0.90662902,0.917556948
Jan-73,4.5,1.82213881,1.730901551
Feb-73,12.5,3.000523416,2.663990946
Mar-73,9.8,4.405927867,5.454247459
Apr-73,24.8,10.17296178,10.44807982
May-73,30.2,42.7194875,45.83267408
Jun-73,99.3,134.4026239,143.8037589
Jul-73,69.8,138.8181628,142.8984444
Aug-73,82.9,123.8323087,110.0975108
Sep-73,64.2,103.0811337,105.2735949
Oct-73,70.7,21.33264184,23.41184446
Nov-73,10.7,1.25964625,1.432150655
Dec-73,7,0.847320968,0.794180139
Jan-74,2.3,1.772823148,1.72987351
Feb-74,3.6,2.441995624,2.297130091
Mar-74,7.5,4.289659499,5.507721089
Apr-74,7.9,10.50935046,9.985484819
May-74,67.3,51.17151411,45.74690361
Jun-74,124.9,122.5639622,138.4519018
Jul-74,99.8,142.1108432,147.4258743
Aug-74,140.5,121.2173182,107.6139822
Sep-74,145.6,94.50817258,98.75245527
Oct-74,31.7,31.16716417,19.91755963
Nov-74,6.1,1.273005313,1.192118786
Dec-74,8.5,0.764540925,0.826063011
Jan-75,9,1.77558625,1.672046132
Feb-75,4.6,2.467537523,2.983152439
Mar-75,3.2,4.368530034,4.426187144
Apr-75,12.9,9.935812203,10.44903308
May-75,60.2,44.74691732,41.44835127
Jun-75,121,124.4905817,139.535129
Jul-75,135.3,134.9028681,145.4733442
Aug-75,95.8,121.513745,104.2072279
Sep-75,104.2,101.0272723,106.511149
Oct-75,42.5,24.03749914,22.35479311
Nov-75,0,1.21334518,1.090017833
Dec-75,0.3,0.787250399,0.828919951
Jan-76,2.3,1.619170568,1.653946027
Feb-76,8.6,2.421455599,2.735517757
Mar-76,3,4.467307318,4.818673682
Apr-76,9,10.26015301,10.99621789
May-76,68.3,40.51318911,44.48513054
Jun-76,126.6,133.738327,125.635088
Jul-76,113.5,149.5116197,121.9699464
Aug-76,125.7,120.5523732,112.2360839
Sep-76,78.8,103.7339594,105.1224726
Oct-76,22.2,20.32485393,24.88584602
Nov-76,0,1.306016128,1.344526641
Dec-76,0,0.943432591,0.927996788
Jan-77,4.4,1.944727013,1.774454213
Feb-77,7.4,2.892965825,2.184757317
Mar-77,0.4,4.253571026,4.051347939
Apr-77,34.3,10.00334628,9.979671372
May-77,32.6,39.36982246,41.9046468
Jun-77,93,132.0176276,129.1354495
Jul-77,83.2,154.2017688,140.1161898
Aug-77,54.9,115.4622813,110.9272182
Sep-77,56,106.5513736,98.41735828
Oct-77,37.2,18.4115234,28.6156743
Nov-77,4.4,1.363731786,1.105744353
Dec-77,6.7,0.919542934,0.865572046
Jan-78,6.4,1.938765752,1.699107166
Feb-78,10.9,2.899641764,2.356606608
Mar-78,12.5,4.114413978,4.876648808
Apr-78,20.9,10.74373135,8.46446279
May-78,58.7,46.31912887,37.03175756
Jun-78,83.7,137.8016069,122.6314379
Jul-78,105,146.7092822,140.0493011
