,obspcp,calibpcp,gcmpcp
Jan-61,5,5.06614,3.66885
Feb-61,2.8,4.9328,4.42895
Mar-61,16.1,7.94955,6.78244
Apr-61,19.8,14.4131,11.06465
May-61,40.5,41.38113,34.80054
Jun-61,71.4,116.54403,108.69905
Jul-61,95.1,115.47639,163.21317
Aug-61,157,104.36925,118.82469
Sep-61,57.6,86.77711,69.16934
Oct-61,48.7,32.5125,9.62678
Nov-61,5,4.25563,3.80251
Dec-61,2.5,4.05061,1.8742
Jan-62,5.7,4.54046,3.35522
Feb-62,5.2,4.34679,4.45573
Mar-62,5.4,9.27997,5.20764
Apr-62,12.6,14.64399,14.00056
May-62,48.3,41.07363,31.82074
Jun-62,125.7,109.13868,114.08452
Jul-62,155.8,126.80603,164.99842
Aug-62,117.6,96.86441,120.49214
Sep-62,66.7,95.49723,73.26837
Oct-62,11.3,30.91473,10.04989
Nov-62,0,4.89608,4.10596
Dec-62,2,3.43054,2.35594
Jan-63,0.1,3.95264,2.21811
Feb-63,0.4,4.28534,3.79932
Mar-63,18,8.30467,5.66091
Apr-63,13.5,14.46097,11.76532
May-63,42.7,44.02182,32.36307
Jun-63,131.6,110.73465,100.6283
Jul-63,111.5,116.05403,169.9743
Aug-63,127.6,102.38348,115.429
Sep-63,152.9,91.54512,79.2393
Oct-63,8.7,32.30657,10.38513
Nov-63,5.9,4.49829,4.92383
Dec-63,0.5,2.89897,3.75046
Jan-64,3.3,4.40016,4.18812
Feb-64,2.6,6.60131,5.07116
Mar-64,0.5,8.31303,4.8957
Apr-64,4.8,12.61893,10.52991
May-64,25.8,41.38444,37.81492
Jun-64,144.4,106.52948,110.49314
Jul-64,97.9,110.44348,167.93214
Aug-64,99.8,107.8941,114.39994
Sep-64,86.6,91.86972,78.79341
Oct-64,20.6,52.2963,11.54333
Nov-64,8.6,3.99581,4.60262
Dec-64,4.5,3.20688,1.89094
Jan-65,1.2,4.22439,3.5501
Feb-65,1.7,4.63991,3.90485
Mar-65,4,8.68639,7.00717
Apr-65,11.3,11.82795,11.71102
May-65,45.2,44.4688,35.61048
Jun-65,167.1,110.26866,110.09098
Jul-65,109,116.48993,166.97179
Aug-65,111.5,94.86201,111.80208
Sep-65,68,90.73207,68.88635
Oct-65,24.6,38.52479,15.48682
Nov-65,7.7,5.72035,3.55642
Dec-65,0,1.88609,2.97032
Jan-66,4.4,4.80028,3.50346
Feb-66,1.7,4.36458,4.48406
Mar-66,3.5,8.67293,7.74469
Apr-66,6.8,14.23035,11.97366
May-66,8.4,49.52292,33.17641
Jun-66,47.8,123.36021,110.93921
Jul-66,124.6,118.28113,170.13096
Aug-66,117.5,95.83545,116.90927
Sep-66,73.1,89.20686,71.94592
Oct-66,27.6,28.88477,12.46236
Nov-66,1.9,5.96694,5.40343
Dec-66,0.2,3.97359,2.34482
Jan-67,2.5,4.49366,2.57756
Feb-67,3.2,5.1757,3.02422
Mar-67,16.5,8.36957,6.35312
Apr-67,3.6,11.57867,9.7567
May-67,31.8,49.58978,32.94233
Jun-67,98.5,113.01092,109.4263
Jul-67,114.9,119.26831,180.58459
Aug-67,136.4,98.76811,113.511
Sep-67,52.6,88.98982,63.90864
Oct-67,24.5,32.48234,17.70893
Nov-67,8.3,5.90871,4.77623
Dec-67,3.3,2.29632,3.53031
Jan-68,10.5,3.62072,3.84806
Feb-68,6.8,4.47198,3.36949
Mar-68,10.2,8.97033,6.36885
Apr-68,12.9,15.26747,12.39778
May-68,30.4,42.96404,37.02254
Jun-68,78.9,102.30164,100.75613
Jul-68,87.6,117.11735,179.69017
Aug-68,73.6,93.13802,117.9909
Sep-68,127.9,87.32416,69.53362
Oct-68,23.8,35.64106,11.92626
Nov-68,4.4,4.83779,4.46358
Dec-68,0.2,3.10484,2.45422
Jan-69,6.4,4.6772,3.08462
Feb-69,0,4.16174,4.31039
Mar-69,3.7,8.24974,6.09893
Apr-69,5.2,13.23189,12.10386
May-69,21.4,41.54922,34.24016
Jun-69,140.8,120.83568,114.56841
