date,obspcp,calibpcp,gcmpcp
1961/1/1,0,0.19552,0.08496
1961/1/2,0,0.13568,0.01973
1961/1/3,0,0.16224,0.08809
1961/1/4,2.6,0.09646,0.01524
1961/1/5,0,0.1343,0.1476
1961/1/6,0,0.10832,0.01716
1961/1/7,0,0.18896,0.14664
1961/1/8,0,0.15653,0.13383
1961/1/9,0,0.09458,0.06424
1961/1/10,0,0.24109,0.09568
1961/1/11,0.6,0.15443,0.09545
1961/1/12,0,0.15176,0.14888
1961/1/13,0,0.10763,0.10523
1961/1/14,0,0.06965,0.14913
1961/1/15,0,0.13354,0.25732
1961/1/16,0,0.26716,0.10537
1961/1/17,0,0.28664,0.15558
1961/1/18,0,0.21154,0.1727
1961/1/19,0,0.10698,0.23314
1961/1/20,0,0.13593,0.19613
1961/1/21,0,0.20228,0.25411
1961/1/22,0,0.14806,0.18098
1961/1/23,0,0.12883,0.17882
1961/1/24,0,0.18296,0.01185
1961/1/25,0,0.18543,0.12908
1961/1/26,0,0.12393,0.03921
1961/1/27,0,0.10186,0.09846
1961/1/28,0,0.21005,0.04776
1961/1/29,0,0.21918,0.09431
1961/1/30,0,0.07487,0.08426
1961/1/31,1.8,0.34975,0.11791
1961/2/1,0,0.27951,0.20158
1961/2/2,0.1,0.29701,0.20112
1961/2/3,0.4,0.18533,0.22196
1961/2/4,0,0.24036,0.20456
1961/2/5,0,0.1621,0.1802
1961/2/6,0,0.1924,0.11961
1961/2/7,0,0.31406,0.12113
1961/2/8,0,0.37007,0.28835
1961/2/9,0,0.14753,0.08685
1961/2/10,0,0.17176,0.12131
1961/2/11,0,0.25195,0.08926
1961/2/12,0.8,0.17657,0.17581
1961/2/13,0,0.11962,0.13161
1961/2/14,1.5,0.03366,0.14773
1961/2/15,0,0.17682,0.11838
1961/2/16,0,0.09533,0.18309
1961/2/17,0,0.14657,0.30565
1961/2/18,0,0.09023,0.17941
1961/2/19,0,0.16608,0.20739
1961/2/20,0,0.13992,0.1535
1961/2/21,0,0.12646,0.11037
1961/2/22,0,0.19258,0.08539
1961/2/23,0,0.18651,0.08532
1961/2/24,0,0.19034,0.10087
1961/2/25,0,0.20887,0.0891
1961/2/26,0,0.10407,0.29307
1961/2/27,0,0.06009,0.08659
1961/2/28,0,0.107,0.13974
1961/3/1,1.2,0.16027,0.20256
1961/3/2,0,0.16615,0.14171
1961/3/3,4,0.17675,0.20945
1961/3/4,0.4,0.19124,0.20029
1961/3/5,2.5,0.18026,0.15487
1961/3/6,0,0.12965,0.10722
1961/3/7,0,0.2102,0.24344
1961/3/8,0,0.21886,0.20406
1961/3/9,0,0.0881,0.23814
1961/3/10,0,0.35806,0.14122
1961/3/11,0,0.29609,0.31902
1961/3/12,0,0.36861,0.15917
1961/3/13,0,0.39009,0.15245
1961/3/14,0,0.46068,0.19958
1961/3/15,0,0.2551,0.27309
1961/3/16,0,0.11406,0.27059
1961/3/17,0.8,0.13312,0.3278
1961/3/18,0,0.33744,0.52956
1961/3/19,0,0.38881,0.28055
1961/3/20,0.5,0.32379,0.11838
1961/3/21,0,0.33324,0.17336
1961/3/22,2.1,0.32142,0.2269
1961/3/23,2.4,0.22706,0.30667
1961/3/24,0.9,0.36958,0.1992
1961/3/25,0.5,0.30674,0.17935
1961/3/26,0,0.3552,0.22347
1961/3/27,0.8,0.27077,0.10908
1961/3/28,0,0.23544,0.22643
1961/3/29,0,0.21896,0.22362
1961/3/30,0,0.18206,0.26971
1961/3/31,0,0.18175,0.1715
1961/4/1,0,0.3681,0.35048
1961/4/2,1.3,0.42687,0.42781
